Code,Title,Semesters
MATH 1113,Pre-Calculus,Fa Sp Su
MATH 2125,Intro to Discrete,Fa Sp Su
CPSC 1301K,Computer,Fa Sp Su
CPSC 1302,Computer,Fa Sp Su
CPSC 2105,Computer,Fa Sp Su Fall Spring Summer
MATH 5125,Discrete,Fa Sp Su
CPSC 2108,Data,Fa Sp Su
CYBR 2159,Fundamentals of,Fa Sp --
CPSC 3175,Object-Oriented,Fa Sp --
CYBR 2106,Intro to Information,Fa Sp Su
CPSC 3125,Operating,Fa Sp --
CPSC 3131,Database,Fa Sp --
CPSC 3000+,Technical,Fa Sp ??
CPSC 5135,Programming,
CPSC 3165,Professionalism,Fa Sp Su
CPSC 5115,Algorithm Analysis,Fa -- --
CPSC 4175,Software,Fa -- --
CPSC 5157,Computer,Fa -- Su
CPSC 3121,Assembly I,
CPSC 5155,Computer,Fa -- --
CPSC 5128,Theory of,
CPSC 4176,Senior Software,
CPSC 4000,Baccalaureate Survey,Fa Sp Su
CPSC 3000+,Technical,Fa Sp ??
